Nombre,Estilo,País,País Ingles,Alcohol,Color,Amargor,Descripcion,Descripcion ingles,Disponible,Imagen,Artesanal,Tipo,Recomendada,Formato,Precio,formato 2,precio 2,formato 3,precio 3,Sin gluten,Aparece,Barril
A Dios,Triple Neipa,España 🇪🇸,Spain 🇪🇸,"10,0%",,,"Para el Art Beer Fest de este año, 10 cervecerías internacionales se unieron para rendir homenaje al mejor jugador de todos los tiempos: A Dios. Juntos diseñaron una receta con una idea sencilla: 10 cervecerías, 10 maltas, 10 lúpulos y 10% de alcohol en una potente y jugosa Triple Neipa marcada por el virtuosismo y el exceso.

Una colaboración con:
1- Juguetes Perdidos 🇦🇷
2- MØMBrewers 🇵🇹
3- Milkkeller 🇩🇰
4- Jing-A 🇨🇳
5- Two Tribes 🇬🇧
6 - SanFrutos 🇪🇸
7- Stu Mostow 🇵🇱
8- Fraugruber 🇩🇪
9- Vetra Milano 🇮🇹
10- La Pirata 🇪🇸",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1621944545/vzriksistp0cksyutor7.png,Si,IPA-IPA,No,33 cl (Lata) - 33 cl (Canned),"7,00 €",,,,,,Sí,No
Alhambra Baltic Porter,Baltic Porter,España 🇪🇸,Spain 🇪🇸,"7,8%",200 EBC,35 IBU,,,Sí,https://i.ibb.co/VjqgSsf/bartic.jpg,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"6,80 €",,,,,,SÍ,No
Alhambra Palo Cortado,Lager con crianza en barrica,España 🇪🇸,Spain 🇪🇸,"7,6%",,23 IBU,El tiempo de crianza de la cerveza hace que el caracter del vino Palo Cortado se exprese en la cerveza,,Sí,https://i.ibb.co/4s8NbFD/alhambra-palo-cortado.jpg,No,Tostada-Brown,No,50 cl (Botella) - 50 cl (Bottle),"9,50 €",,,,,,SÍ,No
Alhambra Reserva 1925,Amber Lager,España 🇪🇸,Spain 🇪🇸,"6,4%",13 EBC,26 IBU,,,Sí,https://i.ibb.co/x7mZHF9/cerveza-alhambra-reserva-1925-33-cl-botella-min.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,,SÍ,No
Anchor Fog Breaker IPA,IPA,USA 🇺🇸,USA 🇺🇸,"6,8%",,50 IBU,"San Francisco tiene muchas cosas a su favor, pero el clima es algo diferente: la ciudad está envuelta en una niebla que al final le han puesto sus ciudadanos con el nombre de Karl. La cerveceria de Anchor Brewinges se encuentra en Potrero cuya principal particularidad es que es uno de los lugares más soleados de San Francisco. En honor a dicha ubicación se le ha dado el nombre de Fog Breaker IPA a esta cerveza con un aroma afrutado y sabor amargo. Es una cerveza refrescante con intensos aromas a piña madura, melón y pino gracias a el lúpulo Citra Cryo, al lúpulo Denali y Cascade.  Elaborada con trigo y malta pálida su amargor se contrarresta con toques de sabor a galleta y una suave y efervecente sensación en boca lo que la hace evidente en su apariencia con un cuerpo brillante, dorado y pajizo con una crema duradera.",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1620927857/wkr00lm23azoacdclrer.png,No,IPA-IPA,No,"35,5 cl (Botella) - 35,5 cl (Bottle)","6,70 €",,,,,,SÍ,No
Arriaca IMPERIAL RED IPA,Imperial Red IPA,España 🇪🇸,Spain 🇪🇸,"8,5%",,99 IBU,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1624367224/loerr1eki41urkee6cts.png,Sí,IPA-IPA,No,33 cl (Lata) - 33 cl (Canned),"6,60 €",,,,,,SÍ,No
Arriaca IPA,IPA,España 🇪🇸,Spain 🇪🇸,"6,9%",,45 IBU,,,Sí,https://i.ibb.co/mDqcWmv/1322.png,Sí,IPA-IPA,No,33 cl (Lata) - 33 cl (Canned),"5,60 €",,,,,,SÍ,No
Barbar,Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"8,0%",90 EBC,20 IBU,"Color rubio oscuro, muy cremosa y aroma muy potente, aromatizada con miel y acompañada con notas picantes, cítricas y florales",,No,https://i.ibb.co/VL9qScx/barbar.png,No,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"5,00 €",,,,,,SÍ,No
Bestiator,Honey Doppelbock,España 🇪🇸,Spain 🇪🇸,"8,6%",62 EBC,44 IBU,"Pués si, estos máquinas de mi Salamanca siguen haciendo de las suyas, ahora otra barbaridad más de sabor. Prueba BESTIATOR y no te arrepentirás",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1621420538/l86xkrzxlyqxiltdlelx.png,Sí,Tostada-Brown,No,33 cl (botella) - 33 cl (Bottle),"5,20 €",,,,,,SÍ,No
Bizarra Black Ipa,Black IPA,España 🇪🇸,Spain 🇪🇸,"6,4%",,,,,No,https://i.ibb.co/0qcD38J/bizarra-black-ipa.jpg,Sí,IPA-IPA,No,33 cl (botella) - 33 cl (Bottle),"4,10 €",75 cl (Botella)- (Bottel),"9,00 €",,,,SÍ,No
