Nombre,Nombre ingles,Descripcion,Descripcion ingles,Tipo,Precio,precio 2,Altramuces,Apio,Cacahuete,Crustaceo,Gluten,Huevo,Lacteos,Moluscos,Mostaza,Nueces,Pescado,Sesamo,Soja,Sulfitos,Disponible
Croquetas de Jamón (8 ud),Ham Croquettes,,,Raciones y Entradas-Starters and Portions,"9,50€","11,50€",,,,,Sí,Sí,Sí,,,,,,,,Sí
Tabla de queso de oveja curado,Cheese Platter,,,Raciones y Entradas-Starters and Portions,"13,50€","15,50€",,,,,,,Sí,,,,,,,,Sí
Gyozas de Pollo (8 ud),Chicken Gyozas (japanese dumplings),,,Raciones y Entradas-Starters and Portions,"9,50€","11,50€",,,,,Sí,,,,,,,,,,Sí
Jamón Ibérico,Iberian Ham,,,Raciones y Entradas-Starters and Portions,"15,50€","17,50€",,,,,,,,,,,,,,,Sí
Pollo ERASMUS (Nueva receta),ERASMUS Chicken,,,Raciones y Entradas-Starters and Portions,"11,50€","13,50€",,,,,Sí,,,,,,,,,,Sí
Huevos Rotos con Jamón Ibérico,"""Broken"" Eggs With Iberian Ham",,,Raciones y Entradas-Starters and Portions,"11,50€","13,50€",,,,,Sí,Sí,,,,,,,,,Sí
"Chorizo ahumado ""picantito"" a la parrilla","Grilled Smoked ""chorizo"" (spicy)",,,Raciones y Entradas-Starters and Portions,"9,50€","11,50€",,,,,,,,,,,,,,,Sí
Embutidos Ibéricos (chorizo y salchichón),Iberian chorizo and salchichón,,,Raciones y Entradas-Starters and Portions,"10,50€","12,50€",,,,,Sí,,,,,,,,,,No
Wrap Vegetariano,Vegetarian Wrap,,,Raciones y Entradas-Starters and Portions,"12,50€","14,50€",,,,,,,,,,,,,,,No
Pittas Beef-Curry (6 ud ración),Pittas Beef-Curry (6 ud),,,Raciones y Entradas-Starters and Portions,"12,00€","14,00€",,,,,Si,,,,Si,,,,,,No
,,,,,,,,,,,,,,,,,,,,,Sí
Parrillada de Verduras,Grilled Vegetables,,,Ensaladas-Salads,"12,50€","14,50€",,,,,,,Sí,,,,,,,,Sí
Ensalada Cesar,Chicken Caesar Salad,,,Ensaladas-Salads,"9,50€","11,50€",,,,,,,Sí,,,,,,,,Sí
Ensalada Capresse,Capresse Salad,,,Ensaladas-Salads,"10,50€","12,50€",,,,,Sí,,Sí,,,,,,,,Sí
Ensalada ERASMUS,ERASMUS Salad,,,Ensaladas-Salads,"10,50€","12,50€",,,,,,,,,,,,,,,Sí
,,,,,,,,,,,,,,,,,,,,,Sí
Rabas de Calamar,Deep Fried Calamari,,,Pescados-Fish,"10,50€","12,50€",,,,,Sí,,,,,,Sí,,,,Sí
Gambas a la Gabardina,Battered Fried Prawns,,,Pescados-Fish,"13,50€","15,50€",,,,Sí,Sí,,,,,,,,,,Sí
Arroz con Bogavante ,Rice With Lobster,Precio por persona,,Pescados-Fish,"16,00€","18,00€",,,,Sí,Sí,,,,,,Sí,,,,Sí
Merluza a la plancha con verduritas,Grilled Hake with vegetables,,,Pescados-Fish,"16,50€","18,50€",,,,,,,,,,,Sí,,,,No
Calamar a la parrilla con su guarnición,Grilled squid with its garnish,,,Pescados-Fish,"15,00€","17,00€",,,,,,,,,,,Sí,,,,Sí
,,,,,,,,,,,,,,,,,,,,,
Costillar de cerdo BBQ,BBQ pork ribs,,,Carnes-Meats,"16,10€","18,10€",,,,,,,,,,,,,,,Sí
Codillo Asado al estilo de Baviera,Bavarian-Style Roasted Pork Knuckle,,,Carnes-Meats,"17,50€","19,50€",,,,,,,Sí,,,,,,,,Sí
Hamburguesa de Buey,Homemada Beef Burguer,,,Carnes-Meats,"14,00€","16,00€",,,,,Sí,,Sí,,,,,,,,Sí
Entrecôte de Ternera a la Parrilla,Grilled Entrecot Steak,,,Carnes-Meats,"18,30€","20,30€",,,,,,,,,,,,,,,Sí
Salchichas Brastwurst (Auténticas  -   2 ud x 120 gr)) ,Authentic German Brastwurst Sausages,,2 ud. x 120 Gr.,Carnes-Meats,"10,80€","12,80€",,,,,,,Sí,,Sí,,,,,,Sí
Presa Ibérica,Grilled Iberian Pork (Presa),,,Carnes-Meats,"14,50€","16,50€",,,,,,,,,,,,,,,Sí
Lagarto Ibérico a la Parrilla,Grilled Iberian Pork (lagarto),,,Carnes-Meats,"14,50€","16,50€",,,,,,,,,,,,,,,Sí
UN MANOLO!! ,ONE MANOLO!!!,Cachopo Asturiano con patatas y ensalada,"Asturian ""cachopo"" with french fries and salad",Carnes-Meats,"16,50€","18,50€",,,,,Si,Si,Si,,,,,,,,Sí
Chuletón de vaca a la parrilla,Grilled ,,,Carnes-Meats,"29,50€","31,50€",,,,,,,,,,,,,,,Sí
Solomillo de vaca a la parrilla,Grilled ,,,Carnes-Meats,"24,50€","26,50€",,,,,,,,,,,,,,,Sí
,,,,,,,,,,,,,,,,,,,,,
Mini Hamburguesa de Buey,Mini Beef Burger,,,Tapas-Tapas,"4,50€","4,80€",,,,,Sí,,Sí,,,,,,,,No
Tempura de Verduritas,Vegetable Tempura,,,Tapas-Tapas,"4,50€","4,80€",,,,,Sí,,,,,,,,,,No
Patatas Bravas,Brave Potatoes/ fríes with “brava” sause,,,Tapas-Tapas,"3,00€","3,30€",,,,,Sí,Sí,Sí,,,,,,,,Sí
